Jurusan,IPK,Bidang_Minat,Keahlian_1,Keahlian_2,Keahlian_3,Kepemimpinan,Komunikasi,Kerja_Tim,Kreativitas,Berpikir_Kritis,Pemecahan_Masalah,Pengalaman_Magang,Pengalaman_Organisasi,Pengalaman_Kompetisi,Jumlah_Sertifikasi,Gaya_Kerja,Preferensi_Industri,Tujuan_Karier,Rekomendasi_Karier
Teknik Elektro,3.31,Pertanian,Pemasaran Digital,Desain Grafis,Manajemen Proyek,4.0,5.0,5.0,5.0,5.0,2.0,Ya,Ya,Ya,5.0,Remote,Media,Manajer,Jurnalis
Informatika,3.91,Teknologi,Pemasaran Digital,Kepemimpinan,Manajemen Proyek,1.0,1.0,2.0,3.0,4.0,1.0,Tidak,Tidak,Tidak,4.0,Onsite,Teknologi,Peneliti,Ai Engineer
Sistem Informasi,3.94,Manufaktur,Riset,Desain Grafis,Desain Grafis,4.0,1.0,5.0,4.0,3.0,3.0,Ya,Tidak,Ya,2.0,Hybrid,Media,Spesialis,Diplomat
Hukum,3.45,Pariwisata,Manajemen Proyek,Sql,Sql,1.0,1.0,5.0,4.0,4.0,1.0,Ya,Ya,Ya,2.0,Hybrid,Teknologi,Peneliti,Jurnalis
Hubungan Internasional,3.03,Teknologi,Manajemen Proyek,Komunikasi,Analisis Data,3.0,4.0,4.0,5.0,5.0,5.0,Tidak,Tidak,Ya,1.0,Onsite,Teknologi,Peneliti,Konsultan
Kesehatan Masyarakat,3.39,Kesehatan,Manajemen Proyek,Manajemen Proyek,Pemasaran Digital,5.0,5.0,5.0,5.0,2.0,3.0,Tidak,Ya,Tidak,3.0,Remote,Manufaktur,Spesialis,Ai Engineer
Keperawatan,2.82,Pertanian,Desain Grafis,Kepemimpinan,Komunikasi,2.0,2.0,1.0,3.0,3.0,4.0,Tidak,Ya,Ya,1.0,Hybrid,Pemerintahan,Spesialis,Analis Data
Arsitektur,2.82,Pendidikan,Kepemimpinan,Komunikasi,Manajemen Proyek,3.0,2.0,2.0,3.0,4.0,4.0,Tidak,Ya,Tidak,1.0,Hybrid,Keuangan,Peneliti,Ai Engineer
Kimia,3.01,Kesehatan,Machine Learning,Kepemimpinan,Sql,1.0,1.0,5.0,3.0,2.0,1.0,Tidak,Ya,Tidak,0.0,Remote,Pariwisata,Manajer,Data Scientist
Teknik Elektro,3.2,Keuangan,Analisis Data,Sql,Kepemimpinan,3.0,2.0,4.0,4.0,2.0,3.0,Ya,Tidak,Ya,3.0,Hybrid,Kesehatan,Spesialis,Analis Data
Pgsd,2.89,Pemerintahan,Pemasaran Digital,Pemasaran Digital,Pemasaran Digital,3.0,3.0,2.0,4.0,1.0,5.0,Tidak,Tidak,Tidak,1.0,Hybrid,Pemerintahan,Manajer,Akuntan
Perikanan,2.91,Konsultan,Machine Learning,Python,Riset,1.0,3.0,5.0,5.0,3.0,1.0,Ya,Ya,Ya,1.0,Hybrid,Pertanian,Peneliti,Animator
Kesehatan Masyarakat,3.78,Pertanian,Python,Komunikasi,Machine Learning,2.0,5.0,5.0,1.0,3.0,1.0,Tidak,Tidak,Ya,3.0,Onsite,Pertanian,Spesialis,Animator
Teknik Lingkungan,3.78,Pendidikan,Machine Learning,Kepemimpinan,Kepemimpinan,2.0,3.0,2.0,3.0,4.0,4.0,Tidak,Tidak,Tidak,2.0,Hybrid,Konsultan,Wirausaha,Dokter
Bisnis Digital,3.75,Media,Manajemen Proyek,Pemasaran Digital,Komunikasi,5.0,3.0,3.0,4.0,1.0,5.0,Ya,Ya,Ya,0.0,Hybrid,Teknologi,Wirausaha,Software Engineer
Bisnis Digital,3.07,Pemerintahan,Komunikasi,Pemasaran Digital,Desain Grafis,1.0,1.0,4.0,1.0,5.0,5.0,Ya,Ya,Tidak,3.0,Remote,Media,Manajer,Akuntan
Fisika,3.2,Kesehatan,Manajemen Proyek,Kepemimpinan,Komunikasi,1.0,4.0,3.0,2.0,2.0,3.0,Ya,Ya,Tidak,1.0,Onsite,Konsultan,Peneliti,Dokter
Kimia,3.32,Konsultan,Machine Learning,Analisis Data,Komunikasi,4.0,1.0,4.0,5.0,3.0,5.0,Tidak,Tidak,Tidak,2.0,Onsite,Pemerintahan,Peneliti,Analis Data
Film,3.67,Kesehatan,Analisis Data,Manajemen Proyek,Komunikasi,1.0,4.0,3.0,2.0,4.0,1.0,Ya,Ya,Ya,5.0,Hybrid,Teknologi,Manajer,Business Analyst
Tata Boga,3.96,Pariwisata,Analisis Data,Manajemen Proyek,Desain Grafis,1.0,4.0,4.0,3.0,1.0,3.0,Ya,Tidak,Tidak,2.0,Onsite,Pemerintahan,Spesialis,Ai Engineer
Perikanan,3.37,Keuangan,Manajemen Proyek,Desain Grafis,Manajemen Proyek,4.0,3.0,2.0,2.0,5.0,2.0,Tidak,Tidak,Ya,1.0,Onsite,Media,Manajer,Diplomat
Fisika,3.64,Pertanian,Komunikasi,Pemasaran Digital,Desain Grafis,5.0,2.0,1.0,3.0,1.0,1.0,Ya,Ya,Tidak,0.0,Hybrid,Media,Manajer,Ai Engineer
Hukum,2.99,Manufaktur,Riset,Desain Grafis,Pemasaran Digital,4.0,3.0,2.0,4.0,1.0,3.0,Tidak,Tidak,Ya,0.0,Remote,Pemerintahan,Manajer,Data Scientist
Teknologi Pangan,3.46,Pendidikan,Sql,Riset,Manajemen Proyek,2.0,1.0,5.0,3.0,1.0,4.0,Ya,Ya,Tidak,3.0,Remote,Kesehatan,Manajer,Animator
Arsitektur,3.99,Manufaktur,Sql,Kepemimpinan,Riset,3.0,1.0,2.0,4.0,3.0,5.0,Ya,Ya,Tidak,4.0,Onsite,Teknologi,Spesialis,Animator
Teknik Mesin,3.34,Keuangan,Python,Riset,Manajemen Proyek,1.0,2.0,1.0,5.0,5.0,3.0,Tidak,Ya,Ya,4.0,Onsite,Pemerintahan,Wirausaha,Konsultan
Teknik Elektro,2.91,Keuangan,Sql,Machine Learning,Pemasaran Digital,5.0,5.0,4.0,3.0,1.0,4.0,Tidak,Tidak,Ya,1.0,Remote,Pendidikan,Spesialis,Analis Data
Teknologi Pangan,3.41,Teknologi,Desain Grafis,Python,Pemasaran Digital,3.0,1.0,4.0,3.0,1.0,2.0,Tidak,Ya,Ya,0.0,Remote,Media,Wirausaha,Guru
Ekonomi,3.39,Media,Machine Learning,Machine Learning,Riset,3.0,1.0,5.0,3.0,5.0,1.0,Tidak,Tidak,Ya,2.0,Onsite,Media,Manajer,Business Analyst
Pendidikan Bahasa Inggris,3.27,Manufaktur,Desain Grafis,Analisis Data,Manajemen Proyek,2.0,5.0,4.0,3.0,1.0,5.0,Ya,Tidak,Ya,0.0,Hybrid,Pendidikan,Peneliti,Konsultan
Akuntansi,3.89,Manufaktur,Desain Grafis,Analisis Data,Sql,4.0,4.0,3.0,2.0,3.0,5.0,Ya,Tidak,Ya,3.0,Onsite,Pariwisata,Wirausaha,Dokter
Teknik Elektro,3.3,Pertanian,Desain Grafis,Pemasaran Digital,Riset,3.0,5.0,3.0,4.0,3.0,5.0,Ya,Ya,Ya,3.0,Onsite,Pariwisata,Wirausaha,Jurnalis
Kimia,3.37,Manufaktur,Sql,Riset,Manajemen Proyek,5.0,2.0,5.0,3.0,5.0,5.0,Tidak,Ya,Tidak,3.0,Remote,Kesehatan,Manajer,Dokter
Manajemen,3.37,Kesehatan,Analisis Data,Machine Learning,Kepemimpinan,4.0,2.0,1.0,2.0,2.0,1.0,Ya,Tidak,Tidak,5.0,Onsite,Konsultan,Peneliti,Konsultan
Perhotelan,2.89,Pendidikan,Analisis Data,Kepemimpinan,Analisis Data,3.0,4.0,4.0,1.0,1.0,5.0,Ya,Tidak,Tidak,4.0,Remote,Pariwisata,Spesialis,Diplomat
Farmasi,2.79,Manufaktur,Sql,Komunikasi,Desain Grafis,3.0,2.0,2.0,5.0,5.0,3.0,Tidak,Tidak,Tidak,5.0,Hybrid,Teknologi,Wirausaha,Konsultan
Teknik Elektro,3.28,Teknologi,Manajemen Proyek,Kepemimpinan,Desain Grafis,1.0,3.0,2.0,2.0,4.0,3.0,Ya,Tidak,Ya,5.0,Onsite,Media,Peneliti,Dokter
Keperawatan,3.23,Media,Sql,Desain Grafis,Komunikasi,5.0,4.0,4.0,2.0,1.0,3.0,Tidak,Tidak,Tidak,0.0,Onsite,Pemerintahan,Peneliti,Perawat
Agroteknologi,3.3,Kesehatan,Riset,Analisis Data,Kepemimpinan,5.0,4.0,3.0,1.0,3.0,2.0,Tidak,Tidak,Ya,5.0,Remote,Manufaktur,Spesialis,Diplomat
Tata Boga,3.37,Media,Analisis Data,Desain Grafis,Komunikasi,3.0,5.0,2.0,1.0,2.0,2.0,Ya,Ya,Ya,0.0,Hybrid,Konsultan,Spesialis,Data Scientist
Film,3.62,Kesehatan,Komunikasi,Analisis Data,Python,3.0,3.0,5.0,3.0,3.0,4.0,Tidak,Tidak,Ya,2.0,Onsite,Manufaktur,Spesialis,Diplomat
Film,3.56,Pariwisata,Desain Grafis,Python,Kepemimpinan,3.0,4.0,5.0,5.0,2.0,5.0,Ya,Ya,Tidak,5.0,Onsite,Manufaktur,Peneliti,Guru
Pendidikan Bahasa Inggris,3.36,Media,Desain Grafis,Machine Learning,Manajemen Proyek,4.0,4.0,4.0,3.0,4.0,4.0,Ya,Tidak,Ya,0.0,Onsite,Pemerintahan,Manajer,Animator
Dkv,3.14,Pemerintahan,Analisis Data,Sql,Manajemen Proyek,3.0,1.0,3.0,5.0,5.0,5.0,Tidak,Ya,Tidak,1.0,Hybrid,Pemerintahan,Peneliti,Diplomat
Ilmu Komunikasi,2.93,Teknologi,Desain Grafis,Sql,Riset,3.0,1.0,4.0,5.0,2.0,3.0,Tidak,Ya,Tidak,5.0,Hybrid,Teknologi,Spesialis,Akuntan
Arsitektur,2.92,Pariwisata,Desain Grafis,Komunikasi,Pemasaran Digital,1.0,2.0,2.0,1.0,3.0,2.0,Ya,Ya,Ya,4.0,Onsite,Pendidikan,Manajer,Business Analyst
Kimia,3.46,Kesehatan,Machine Learning,Sql,Kepemimpinan,2.0,4.0,5.0,4.0,3.0,3.0,Tidak,Ya,Tidak,0.0,Hybrid,Konsultan,Manajer,Jurnalis
Agroteknologi,3.32,Kesehatan,Komunikasi,Machine Learning,Machine Learning,4.0,4.0,5.0,4.0,2.0,2.0,Ya,Tidak,Tidak,0.0,Hybrid,Pertanian,Manajer,Perawat
Pendidikan Matematika,3.88,Kesehatan,Pemasaran Digital,Pemasaran Digital,Pemasaran Digital,1.0,4.0,2.0,3.0,4.0,5.0,Tidak,Tidak,Tidak,5.0,Remote,Konsultan,Manajer,Akuntan
Peternakan,3.1,Pariwisata,Riset,Machine Learning,Sql,4.0,5.0,3.0,2.0,4.0,3.0,Ya,Ya,Ya,1.0,Onsite,Media,Spesialis,Animator
Pendidikan Matematika,2.96,Manufaktur,Kepemimpinan,Desain Grafis,Analisis Data,2.0,1.0,1.0,4.0,3.0,4.0,Tidak,Ya,Ya,4.0,Remote,Pemerintahan,Spesialis,Arsitek
Kimia,3.11,Keuangan,Desain Grafis,Analisis Data,Machine Learning,2.0,5.0,1.0,3.0,1.0,2.0,Ya,Tidak,Tidak,2.0,Onsite,Pertanian,Peneliti,Ai Engineer
Ilmu Komunikasi,3.87,Teknologi,Analisis Data,Kepemimpinan,Riset,3.0,2.0,3.0,1.0,4.0,3.0,Tidak,Ya,Ya,5.0,Remote,Keuangan,Spesialis,Analis Data
Perhotelan,3.55,Konsultan,Pemasaran Digital,Manajemen Proyek,Python,2.0,3.0,3.0,1.0,3.0,2.0,Ya,Ya,Ya,3.0,Hybrid,Kesehatan,Manajer,Business Analyst
Manajemen,3.63,Pendidikan,Analisis Data,Manajemen Proyek,Manajemen Proyek,2.0,4.0,4.0,3.0,3.0,3.0,Tidak,Tidak,Ya,3.0,Remote,Media,Peneliti,Guru
Kesehatan Masyarakat,3.17,Manufaktur,Riset,Sql,Kepemimpinan,4.0,1.0,2.0,4.0,4.0,4.0,Ya,Tidak,Ya,4.0,Remote,Konsultan,Manajer,Animator
Ilmu Komunikasi,2.97,Keuangan,Analisis Data,Sql,Machine Learning,1.0,1.0,2.0,3.0,2.0,2.0,Ya,Tidak,Ya,3.0,Onsite,Pertanian,Peneliti,Arsitek
Kedokteran,3.86,Media,Manajemen Proyek,Komunikasi,Komunikasi,5.0,1.0,2.0,5.0,5.0,1.0,Ya,Tidak,Ya,5.0,Onsite,Kesehatan,Manajer,Guru
Ekonomi,3.5,Konsultan,Machine Learning,Machine Learning,Manajemen Proyek,1.0,3.0,2.0,1.0,1.0,4.0,Ya,Ya,Ya,5.0,Hybrid,Pemerintahan,Spesialis,Data Scientist
Informatika,3.65,Manufaktur,Komunikasi,Desain Grafis,Kepemimpinan,2.0,4.0,3.0,3.0,3.0,2.0,Ya,Tidak,Ya,2.0,Remote,Keuangan,Spesialis,Jurnalis
Teknik Mesin,3.33,Keuangan,Analisis Data,Manajemen Proyek,Desain Grafis,5.0,2.0,3.0,2.0,4.0,5.0,Ya,Tidak,Tidak,5.0,Hybrid,Kesehatan,Spesialis,Animator
Farmasi,2.99,Pemerintahan,Komunikasi,Python,Python,1.0,5.0,1.0,1.0,4.0,2.0,Ya,Tidak,Tidak,5.0,Hybrid,Media,Peneliti,Dokter
Pendidikan Bahasa Inggris,3.21,Pariwisata,Sql,Manajemen Proyek,Analisis Data,5.0,3.0,4.0,1.0,2.0,3.0,Tidak,Tidak,Ya,1.0,Remote,Manufaktur,Wirausaha,Perawat
Pgsd,3.82,Pertanian,Kepemimpinan,Sql,Machine Learning,3.0,4.0,2.0,3.0,1.0,4.0,Tidak,Tidak,Ya,2.0,Remote,Pertanian,Peneliti,Ai Engineer
Pendidikan Bahasa Inggris,3.67,Pertanian,Kepemimpinan,Analisis Data,Sql,1.0,5.0,2.0,2.0,2.0,3.0,Ya,Tidak,Tidak,2.0,Hybrid,Konsultan,Peneliti,Analis Data
Keperawatan,3.32,Keuangan,Komunikasi,Manajemen Proyek,Desain Grafis,4.0,1.0,3.0,1.0,3.0,2.0,Tidak,Tidak,Ya,0.0,Remote,Konsultan,Wirausaha,Data Scientist
Peternakan,2.85,Media,Analisis Data,Analisis Data,Pemasaran Digital,5.0,2.0,1.0,1.0,5.0,2.0,Tidak,Ya,Tidak,5.0,Remote,Konsultan,Manajer,Software Engineer
Tata Boga,3.55,Teknologi,Sql,Kepemimpinan,Pemasaran Digital,4.0,2.0,5.0,3.0,1.0,4.0,Tidak,Tidak,Ya,4.0,Remote,Pertanian,Wirausaha,Arsitek
Farmasi,3.57,Manufaktur,Manajemen Proyek,Desain Grafis,Manajemen Proyek,5.0,1.0,1.0,4.0,5.0,2.0,Tidak,Tidak,Tidak,3.0,Hybrid,Pariwisata,Peneliti,Diplomat
Teknologi Pangan,3.03,Teknologi,Pemasaran Digital,Pemasaran Digital,Komunikasi,5.0,4.0,5.0,2.0,3.0,1.0,Tidak,Tidak,Ya,2.0,Onsite,Pariwisata,Manajer,Animator
Arsitektur,3.74,Pariwisata,Desain Grafis,Pemasaran Digital,Analisis Data,2.0,2.0,3.0,4.0,2.0,4.0,Ya,Tidak,Tidak,4.0,Onsite,Konsultan,Manajer,Guru
Teknik Mesin,3.66,Manufaktur,Manajemen Proyek,Analisis Data,Komunikasi,2.0,3.0,3.0,4.0,4.0,4.0,Ya,Ya,Tidak,0.0,Hybrid,Konsultan,Wirausaha,Ai Engineer
Peternakan,2.81,Pariwisata,Riset,Desain Grafis,Analisis Data,5.0,5.0,4.0,5.0,5.0,4.0,Ya,Tidak,Tidak,4.0,Hybrid,Teknologi,Manajer,Jurnalis
Teknik Kimia,3.2,Pertanian,Desain Grafis,Pemasaran Digital,Machine Learning,4.0,1.0,2.0,3.0,3.0,3.0,Ya,Ya,Ya,4.0,Remote,Pertanian,Spesialis,Ai Engineer
Pendidikan Bahasa Inggris,3.47,Pendidikan,Kepemimpinan,Manajemen Proyek,Desain Grafis,5.0,1.0,2.0,2.0,4.0,4.0,Ya,Ya,Ya,5.0,Remote,Keuangan,Spesialis,Ai Engineer
Pendidikan Matematika,3.02,Pertanian,Machine Learning,Analisis Data,Python,1.0,2.0,2.0,5.0,1.0,3.0,Ya,Ya,Ya,1.0,Remote,Pariwisata,Manajer,Jurnalis
Teknik Sipil,3.11,Teknologi,Analisis Data,Riset,Analisis Data,1.0,2.0,4.0,1.0,2.0,2.0,Ya,Tidak,Tidak,1.0,Remote,Kesehatan,Manajer,Animator
Ekonomi,3.51,Pendidikan,Sql,Manajemen Proyek,Kepemimpinan,3.0,4.0,5.0,1.0,1.0,1.0,Ya,Ya,Tidak,3.0,Hybrid,Pendidikan,Manajer,Dokter
Administrasi Publik,3.41,Manufaktur,Komunikasi,Riset,Manajemen Proyek,1.0,3.0,1.0,3.0,3.0,4.0,Tidak,Tidak,Ya,0.0,Hybrid,Teknologi,Wirausaha,Data Scientist
Fisika,3.35,Pertanian,Analisis Data,Python,Kepemimpinan,1.0,1.0,5.0,2.0,5.0,1.0,Ya,Tidak,Ya,1.0,Remote,Pemerintahan,Spesialis,Akuntan
Informatika,2.78,Konsultan,Komunikasi,Analisis Data,Kepemimpinan,1.0,5.0,2.0,2.0,3.0,2.0,Tidak,Tidak,Ya,2.0,Remote,Teknologi,Manajer,Ai Engineer
Kesehatan Masyarakat,2.89,Pariwisata,Manajemen Proyek,Pemasaran Digital,Machine Learning,3.0,2.0,5.0,2.0,3.0,4.0,Tidak,Ya,Ya,5.0,Remote,Pariwisata,Wirausaha,Arsitek
Statistika,2.89,Pariwisata,Manajemen Proyek,Riset,Desain Grafis,2.0,5.0,1.0,2.0,3.0,1.0,Tidak,Ya,Tidak,2.0,Remote,Pariwisata,Wirausaha,Business Analyst
Sistem Informasi,2.96,Teknologi,Pemasaran Digital,Pemasaran Digital,Kepemimpinan,1.0,4.0,3.0,2.0,3.0,3.0,Ya,Tidak,Ya,0.0,Onsite,Pertanian,Peneliti,Konsultan
Teknik Sipil,2.83,Pemerintahan,Python,Manajemen Proyek,Kepemimpinan,3.0,1.0,5.0,3.0,5.0,3.0,Ya,Tidak,Tidak,3.0,Hybrid,Teknologi,Manajer,Konsultan
Agribisnis,3.38,Pariwisata,Manajemen Proyek,Pemasaran Digital,Manajemen Proyek,1.0,1.0,5.0,2.0,1.0,4.0,Tidak,Tidak,Tidak,0.0,Hybrid,Pertanian,Manajer,Perawat
Akuntansi,3.65,Teknologi,Sql,Manajemen Proyek,Analisis Data,4.0,2.0,4.0,5.0,3.0,2.0,Ya,Ya,Ya,0.0,Onsite,Pertanian,Manajer,Software Engineer
Informatika,3.2,Kesehatan,Analisis Data,Sql,Komunikasi,3.0,1.0,4.0,2.0,4.0,5.0,Ya,Ya,Ya,2.0,Remote,Keuangan,Peneliti,Data Scientist
Pendidikan Bahasa Inggris,3.14,Kesehatan,Manajemen Proyek,Kepemimpinan,Manajemen Proyek,1.0,1.0,4.0,1.0,4.0,3.0,Tidak,Tidak,Tidak,3.0,Onsite,Pariwisata,Manajer,Jurnalis
Teknik Industri,2.95,Manufaktur,Python,Manajemen Proyek,Pemasaran Digital,1.0,3.0,3.0,5.0,1.0,2.0,Ya,Ya,Ya,0.0,Hybrid,Pemerintahan,Wirausaha,Guru
Pendidikan Bahasa Inggris,3.33,Pariwisata,Sql,Pemasaran Digital,Machine Learning,2.0,3.0,5.0,4.0,1.0,1.0,Tidak,Ya,Ya,0.0,Hybrid,Pariwisata,Peneliti,Perawat
Teknik Sipil,3.91,Media,Manajemen Proyek,Python,Analisis Data,2.0,2.0,5.0,1.0,3.0,3.0,Ya,Tidak,Tidak,4.0,Remote,Media,Wirausaha,Jurnalis
Fisika,3.15,Pendidikan,Analisis Data,Python,Pemasaran Digital,3.0,5.0,2.0,5.0,3.0,5.0,Tidak,Ya,Tidak,5.0,Onsite,Media,Manajer,Guru
Biologi,3.52,Pendidikan,Komunikasi,Machine Learning,Manajemen Proyek,1.0,2.0,3.0,1.0,5.0,2.0,Tidak,Tidak,Ya,5.0,Onsite,Pertanian,Peneliti,Konsultan
Pendidikan Matematika,3.11,Manufaktur,Kepemimpinan,Analisis Data,Manajemen Proyek,2.0,5.0,5.0,2.0,3.0,4.0,Tidak,Ya,Ya,4.0,Remote,Pertanian,Wirausaha,Jurnalis
Film,3.26,Keuangan,Manajemen Proyek,Komunikasi,Machine Learning,2.0,2.0,3.0,1.0,4.0,2.0,Ya,Ya,Tidak,3.0,Remote,Pendidikan,Peneliti,Konsultan
Teknik Mesin,2.9,Keuangan,Sql,Machine Learning,Desain Grafis,2.0,3.0,3.0,2.0,4.0,2.0,Tidak,Tidak,Tidak,1.0,Remote,Pendidikan,Peneliti,Guru
Teknik Elektro,3.1,Manufaktur,Machine Learning,Machine Learning,Sql,3.0,2.0,3.0,3.0,2.0,1.0,Ya,Ya,Tidak,2.0,Hybrid,Konsultan,Peneliti,Dokter
Pariwisata,3.17,Manufaktur,Analisis Data,Sql,Riset,5.0,3.0,2.0,3.0,4.0,2.0,Ya,Tidak,Ya,1.0,Onsite,Kesehatan,Spesialis,Akuntan
Hukum,3.69,Konsultan,Analisis Data,Kepemimpinan,Desain Grafis,3.0,2.0,5.0,5.0,5.0,4.0,Ya,Tidak,Tidak,5.0,Remote,Pemerintahan,Manajer,Jurnalis
Teknik Kimia,3.52,Media,Machine Learning,Pemasaran Digital,Sql,3.0,2.0,1.0,1.0,4.0,3.0,Ya,Tidak,Tidak,5.0,Remote,Pertanian,Manajer,Analis Data
Ilmu Komunikasi,3.35,Konsultan,Analisis Data,Komunikasi,Python,3.0,4.0,5.0,2.0,3.0,3.0,Ya,Ya,Ya,5.0,Onsite,Kesehatan,Manajer,Dokter
Pendidikan Bahasa Inggris,3.97,Pendidikan,Manajemen Proyek,Riset,Desain Grafis,2.0,3.0,2.0,1.0,1.0,3.0,Tidak,Ya,Tidak,3.0,Onsite,Konsultan,Wirausaha,Ai Engineer
Sistem Informasi,3.22,Konsultan,Desain Grafis,Komunikasi,Manajemen Proyek,3.0,5.0,1.0,2.0,1.0,5.0,Tidak,Ya,Tidak,2.0,Remote,Pariwisata,Spesialis,Analis Data
Ilmu Komunikasi,3.3,Pemerintahan,Pemasaran Digital,Python,Sql,1.0,2.0,3.0,1.0,2.0,2.0,Ya,Tidak,Ya,0.0,Hybrid,Teknologi,Manajer,Guru
Biologi,3.45,Konsultan,Riset,Desain Grafis,Riset,2.0,2.0,1.0,2.0,1.0,5.0,Tidak,Tidak,Tidak,5.0,Onsite,Konsultan,Peneliti,Software Engineer
Bisnis Digital,2.8,Keuangan,Pemasaran Digital,Desain Grafis,Desain Grafis,5.0,5.0,4.0,5.0,3.0,2.0,Ya,Ya,Ya,2.0,Remote,Manufaktur,Peneliti,Software Engineer
Hukum,3.24,Media,Komunikasi,Manajemen Proyek,Analisis Data,2.0,3.0,4.0,1.0,3.0,5.0,Tidak,Ya,Tidak,5.0,Onsite,Konsultan,Peneliti,Guru
Akuntansi,3.37,Pariwisata,Komunikasi,Manajemen Proyek,Pemasaran Digital,5.0,2.0,5.0,2.0,1.0,3.0,Tidak,Tidak,Tidak,4.0,Hybrid,Konsultan,Manajer,Akuntan
Animasi,3.29,Media,Kepemimpinan,Sql,Python,3.0,5.0,2.0,5.0,3.0,5.0,Ya,Tidak,Ya,2.0,Remote,Konsultan,Spesialis,Business Analyst
Manajemen,3.97,Pariwisata,Python,Analisis Data,Riset,3.0,5.0,4.0,5.0,4.0,4.0,Ya,Tidak,Ya,2.0,Hybrid,Media,Wirausaha,Data Scientist
Agribisnis,3.16,Kesehatan,Analisis Data,Sql,Python,1.0,5.0,3.0,2.0,4.0,2.0,Ya,Tidak,Tidak,5.0,Hybrid,Kesehatan,Spesialis,Konsultan
Fisika,3.82,Pemerintahan,Pemasaran Digital,Kepemimpinan,Python,5.0,3.0,5.0,2.0,3.0,4.0,Tidak,Ya,Tidak,1.0,Hybrid,Pendidikan,Wirausaha,Konsultan
Film,3.7,Konsultan,Machine Learning,Python,Manajemen Proyek,4.0,3.0,3.0,4.0,2.0,4.0,Tidak,Tidak,Ya,2.0,Remote,Keuangan,Manajer,Perawat
Teknologi Pangan,3.79,Pariwisata,Analisis Data,Pemasaran Digital,Python,1.0,4.0,3.0,2.0,2.0,4.0,Ya,Tidak,Tidak,2.0,Remote,Pendidikan,Wirausaha,Guru
Hukum,3.6,Konsultan,Pemasaran Digital,Pemasaran Digital,Python,2.0,1.0,2.0,5.0,3.0,3.0,Ya,Tidak,Ya,3.0,Onsite,Manufaktur,Spesialis,Perawat
Pariwisata,3.64,Keuangan,Kepemimpinan,Analisis Data,Desain Grafis,5.0,3.0,4.0,3.0,2.0,5.0,Tidak,Ya,Tidak,5.0,Onsite,Media,Wirausaha,Diplomat
Psikologi,3.17,Konsultan,Kepemimpinan,Desain Grafis,Kepemimpinan,3.0,2.0,4.0,2.0,1.0,3.0,Ya,Tidak,Ya,0.0,Hybrid,Pendidikan,Manajer,Dokter
Pgsd,2.85,Pertanian,Pemasaran Digital,Manajemen Proyek,Riset,4.0,2.0,4.0,2.0,5.0,2.0,Tidak,Tidak,Ya,5.0,Remote,Pertanian,Spesialis,Dokter
Matematika,3.64,Konsultan,Sql,Manajemen Proyek,Sql,4.0,1.0,2.0,2.0,2.0,1.0,Tidak,Tidak,Tidak,0.0,Onsite,Manufaktur,Manajer,Akuntan
Dkv,2.82,Keuangan,Python,Pemasaran Digital,Komunikasi,1.0,2.0,4.0,5.0,5.0,1.0,Ya,Ya,Ya,4.0,Remote,Pariwisata,Wirausaha,Diplomat
Pgsd,3.37,Media,Manajemen Proyek,Manajemen Proyek,Komunikasi,4.0,3.0,4.0,4.0,3.0,3.0,Tidak,Tidak,Tidak,4.0,Remote,Pendidikan,Peneliti,Arsitek
Statistika,3.52,Manufaktur,Komunikasi,Machine Learning,Sql,1.0,1.0,2.0,4.0,5.0,2.0,Tidak,Tidak,Ya,1.0,Remote,Pertanian,Manajer,Business Analyst
Psikologi,2.99,Kesehatan,Komunikasi,Machine Learning,Kepemimpinan,3.0,5.0,3.0,3.0,1.0,4.0,Ya,Ya,Tidak,2.0,Remote,Pariwisata,Manajer,Konsultan
Fisika,3.32,Konsultan,Manajemen Proyek,Komunikasi,Python,2.0,5.0,3.0,1.0,4.0,5.0,Tidak,Tidak,Ya,2.0,Remote,Pemerintahan,Manajer,Business Analyst
Bisnis Digital,3.38,Pendidikan,Manajemen Proyek,Manajemen Proyek,Sql,2.0,3.0,5.0,2.0,5.0,3.0,Ya,Tidak,Tidak,0.0,Hybrid,Pemerintahan,Spesialis,Diplomat
Perikanan,3.22,Pertanian,Machine Learning,Machine Learning,Kepemimpinan,4.0,1.0,1.0,5.0,5.0,4.0,Tidak,Tidak,Ya,0.0,Onsite,Manufaktur,Wirausaha,Guru
Teknik Elektro,3.69,Konsultan,Komunikasi,Desain Grafis,Manajemen Proyek,2.0,3.0,1.0,2.0,5.0,1.0,Ya,Tidak,Ya,3.0,Hybrid,Teknologi,Wirausaha,Business Analyst
Ilmu Komunikasi,3.63,Pariwisata,Python,Komunikasi,Sql,4.0,1.0,2.0,3.0,1.0,4.0,Ya,Ya,Tidak,2.0,Hybrid,Media,Peneliti,Analis Data
Ekonomi,3.68,Kesehatan,Machine Learning,Machine Learning,Desain Grafis,4.0,1.0,4.0,4.0,5.0,5.0,Tidak,Ya,Ya,3.0,Onsite,Pendidikan,Wirausaha,Dokter
Pgsd,3.55,Pemerintahan,Pemasaran Digital,Machine Learning,Machine Learning,1.0,4.0,1.0,1.0,2.0,2.0,Tidak,Tidak,Ya,1.0,Remote,Manufaktur,Peneliti,Ai Engineer
